Datum,Godina,Mjesec,Segment,Prihod_EUR
2021-01-01,2021,1,Implementacija,387438.42
2021-02-01,2021,2,Implementacija,332397.96
2021-03-01,2021,3,Implementacija,352488.71
2021-04-01,2021,4,Implementacija,273138.14
2021-05-01,2021,5,Implementacija,288654.57
2021-06-01,2021,6,Implementacija,308913.9
2021-07-01,2021,7,Implementacija,266463.84
2021-08-01,2021,8,Implementacija,297388.51
2021-09-01,2021,9,Implementacija,343031.54
2021-10-01,2021,10,Implementacija,363328.4
2021-11-01,2021,11,Implementacija,363200.62
2021-12-01,2021,12,Implementacija,413769.24
2022-01-01,2022,1,Implementacija,380938.11
2022-02-01,2022,2,Implementacija,397728.93
2022-03-01,2022,3,Implementacija,337907.02
2022-04-01,2022,4,Implementacija,358550.91
2022-05-01,2022,5,Implementacija,292305.61
2022-06-01,2022,6,Implementacija,294529.74
2022-07-01,2022,7,Implementacija,326842.17
2022-08-01,2022,8,Implementacija,313624.69
2022-09-01,2022,9,Implementacija,380211.09
2022-10-01,2022,10,Implementacija,444431.73
2022-11-01,2022,11,Implementacija,398018.91
2022-12-01,2022,12,Implementacija,458302.94
2023-01-01,2023,1,Implementacija,454537.27
2023-02-01,2023,2,Implementacija,445369.35
2023-03-01,2023,3,Implementacija,364202.83
2023-04-01,2023,4,Implementacija,332259.42
2023-05-01,2023,5,Implementacija,347957.91
2023-06-01,2023,6,Implementacija,336253.44
2023-07-01,2023,7,Implementacija,347946.3
2023-08-01,2023,8,Implementacija,380239.79
2023-09-01,2023,9,Implementacija,395766.45
2023-10-01,2023,10,Implementacija,459638.68
2023-11-01,2023,11,Implementacija,493076.31
2023-12-01,2023,12,Implementacija,477238.67
2024-01-01,2024,1,Implementacija,547427.21
2024-02-01,2024,2,Implementacija,481258.76
2024-03-01,2024,3,Implementacija,401808.31
2024-04-01,2024,4,Implementacija,412569.84
2024-05-01,2024,5,Implementacija,349427.09
2024-06-01,2024,6,Implementacija,380565.02
2024-07-01,2024,7,Implementacija,403286.23
2024-08-01,2024,8,Implementacija,389570.11
2024-09-01,2024,9,Implementacija,480095.65
2024-10-01,2024,10,Implementacija,511003.78
2024-11-01,2024,11,Implementacija,559301.33
2024-12-01,2024,12,Implementacija,610890.69
2025-01-01,2025,1,Implementacija,533572.46
2025-02-01,2025,2,Implementacija,491471.14
2025-03-01,2025,3,Implementacija,450608.49
2025-04-01,2025,4,Implementacija,415254.42
2025-05-01,2025,5,Implementacija,406355.71
2025-06-01,2025,6,Implementacija,407926.0
2025-07-01,2025,7,Implementacija,421667.01
2025-08-01,2025,8,Implementacija,473090.79
2025-09-01,2025,9,Implementacija,499636.9
2025-10-01,2025,10,Implementacija,596356.54
2025-11-01,2025,11,Implementacija,577002.12
2025-12-01,2025,12,Implementacija,701785.2
2021-01-01,2021,1,Podrška,191609.3
2021-02-01,2021,2,Podrška,174009.9
2021-03-01,2021,3,Podrška,169809.6
2021-04-01,2021,4,Podrška,184671.4
2021-05-01,2021,5,Podrška,175808.89
2021-06-01,2021,6,Podrška,185819.29
2021-07-01,2021,7,Podrška,184754.21
2021-08-01,2021,8,Podrška,181621.5
2021-09-01,2021,9,Podrška,176503.35
2021-10-01,2021,10,Podrška,172284.64
2021-11-01,2021,11,Podrška,187186.98
2021-12-01,2021,12,Podrška,203842.43
2022-01-01,2022,1,Podrška,196401.26
2022-02-01,2022,2,Podrška,178219.56
2022-03-01,2022,3,Podrška,192523.06
2022-04-01,2022,4,Podrška,192806.44
2022-05-01,2022,5,Podrška,177185.43
2022-06-01,2022,6,Podrška,188820.77
2022-07-01,2022,7,Podrška,189294.56
2022-08-01,2022,8,Podrška,178404.11
2022-09-01,2022,9,Podrška,199440.08
2022-10-01,2022,10,Podrška,205680.02
2022-11-01,2022,11,Podrška,215080.72
2022-12-01,2022,12,Podrška,216445.72
2023-01-01,2023,1,Podrška,186775.79
2023-02-01,2023,2,Podrška,190867.03
2023-03-01,2023,3,Podrška,206252.91
2023-04-01,2023,4,Podrška,203971.98
2023-05-01,2023,5,Podrška,202534.72
2023-06-01,2023,6,Podrška,241861.97
2023-07-01,2023,7,Podrška,204852.02
2023-08-01,2023,8,Podrška,214819.39
2023-09-01,2023,9,Podrška,216745.92
2023-10-01,2023,10,Podrška,217099.87
2023-11-01,2023,11,Podrška,208043.52
2023-12-01,2023,12,Podrška,223486.73
2024-01-01,2024,1,Podrška,203873.02
2024-02-01,2024,2,Podrška,209342.31
2024-03-01,2024,3,Podrška,203956.1
2024-04-01,2024,4,Podrška,208786.39
2024-05-01,2024,5,Podrška,234935.59
2024-06-01,2024,6,Podrška,183162.44
2024-07-01,2024,7,Podrška,216534.24
2024-08-01,2024,8,Podrška,190738.69
2024-09-01,2024,9,Podrška,209166.29
2024-10-01,2024,10,Podrška,233714.39
2024-11-01,2024,11,Podrška,223516.27
2024-12-01,2024,12,Podrška,209927.09
2025-01-01,2025,1,Podrška,214841.4
2025-02-01,2025,2,Podrška,232069.86
2025-03-01,2025,3,Podrška,210911.37
2025-04-01,2025,4,Podrška,220987.32
2025-05-01,2025,5,Podrška,217193.19
2025-06-01,2025,6,Podrška,208118.32
2025-07-01,2025,7,Podrška,246459.77
2025-08-01,2025,8,Podrška,230164.54
2025-09-01,2025,9,Podrška,198560.76
2025-10-01,2025,10,Podrška,232926.72
2025-11-01,2025,11,Podrška,224507.24
2025-12-01,2025,12,Podrška,247715.68
