Datum,Godina,Mjesec,Kategorija_troška,Trošak_EUR
2025-07-01,2025,7,Plaće i naknade,680519.35
2025-08-01,2025,8,Plaće i naknade,664020.14
2025-09-01,2025,9,Plaće i naknade,707998.03
2025-10-01,2025,10,Plaće i naknade,712057.08
2025-11-01,2025,11,Plaće i naknade,741959.84
2025-12-01,2025,12,Plaće i naknade,758622.95
2021-01-01,2021,1,Materijalni troškovi,109946.35
2021-02-01,2021,2,Materijalni troškovi,106158.83
2021-03-01,2021,3,Materijalni troškovi,111632.03
2021-04-01,2021,4,Materijalni troškovi,107436.76
2021-05-01,2021,5,Materijalni troškovi,103693.64
2021-06-01,2021,6,Materijalni troškovi,106193.05
2021-07-01,2021,7,Materijalni troškovi,110860.32
2021-08-01,2021,8,Materijalni troškovi,106004.89
2021-09-01,2021,9,Materijalni troškovi,113010.42
2021-10-01,2021,10,Materijalni troškovi,113274.5
2021-11-01,2021,11,Materijalni troškovi,115143.52
2021-12-01,2021,12,Materijalni troškovi,127000.96
2022-01-01,2022,1,Materijalni troškovi,123128.13
2022-02-01,2022,2,Materijalni troškovi,120262.78
2022-03-01,2022,3,Materijalni troškovi,114750.63
2022-04-01,2022,4,Materijalni troškovi,113914.73
2022-05-01,2022,5,Materijalni troškovi,110420.12
2022-06-01,2022,6,Materijalni troškovi,108151.26
2022-07-01,2022,7,Materijalni troškovi,112289.03
2022-08-01,2022,8,Materijalni troškovi,108058.36
2022-09-01,2022,9,Materijalni troškovi,121994.49
2022-10-01,2022,10,Materijalni troškovi,128520.81
2022-11-01,2022,11,Materijalni troškovi,123253.84
2022-12-01,2022,12,Materijalni troškovi,137290.5
2023-01-01,2023,1,Materijalni troškovi,121132.08
2023-02-01,2023,2,Materijalni troškovi,120333.55
2023-03-01,2023,3,Materijalni troškovi,126854.58
2023-04-01,2023,4,Materijalni troškovi,123474.41
2023-05-01,2023,5,Materijalni troškovi,119884.18
2023-06-01,2023,6,Materijalni troškovi,122899.13
2023-07-01,2023,7,Materijalni troškovi,118695.97
2023-08-01,2023,8,Materijalni troškovi,123133.45
2023-09-01,2023,9,Materijalni troškovi,126769.7
2023-10-01,2023,10,Materijalni troškovi,127363.81
2023-11-01,2023,11,Materijalni troškovi,142960.86
2023-12-01,2023,12,Materijalni troškovi,132691.75
2024-01-01,2024,1,Materijalni troškovi,136371.09
2024-02-01,2024,2,Materijalni troškovi,131223.33
2024-03-01,2024,3,Materijalni troškovi,130039.03
2024-04-01,2024,4,Materijalni troškovi,126366.9
2024-05-01,2024,5,Materijalni troškovi,121488.12
2024-06-01,2024,6,Materijalni troškovi,126105.12
2024-07-01,2024,7,Materijalni troškovi,129761.72
2024-08-01,2024,8,Materijalni troškovi,125252.96
2024-09-01,2024,9,Materijalni troškovi,132406.05
2024-10-01,2024,10,Materijalni troškovi,144114.89
2024-11-01,2024,11,Materijalni troškovi,141087.33
2024-12-01,2024,12,Materijalni troškovi,144828.79
2025-01-01,2025,1,Materijalni troškovi,144231.09
2025-02-01,2025,2,Materijalni troškovi,140223.14
2025-03-01,2025,3,Materijalni troškovi,139474.07
2025-04-01,2025,4,Materijalni troškovi,144210.99
2025-05-01,2025,5,Materijalni troškovi,138553.7
2025-06-01,2025,6,Materijalni troškovi,138324.21
2025-07-01,2025,7,Materijalni troškovi,139802.63
2025-08-01,2025,8,Materijalni troškovi,139031.04
2025-09-01,2025,9,Materijalni troškovi,143880.43
2025-10-01,2025,10,Materijalni troškovi,151137.37
2025-11-01,2025,11,Materijalni troškovi,161460.66
2025-12-01,2025,12,Materijalni troškovi,163408.8
2021-01-01,2021,1,Usluge trećih strana,142854.75
2021-02-01,2021,2,Usluge trećih strana,139740.48
2021-03-01,2021,3,Usluge trećih strana,130697.29
2021-04-01,2021,4,Usluge trećih strana,127581.15
2021-05-01,2021,5,Usluge trećih strana,127146.19
2021-06-01,2021,6,Usluge trećih strana,124683.58
2021-07-01,2021,7,Usluge trećih strana,127406.14
2021-08-01,2021,8,Usluge trećih strana,131226.61
2021-09-01,2021,9,Usluge trećih strana,134831.05
2021-10-01,2021,10,Usluge trećih strana,135669.73
2021-11-01,2021,11,Usluge trećih strana,143189.27
2021-12-01,2021,12,Usluge trećih strana,154790.44
2022-01-01,2022,1,Usluge trećih strana,156324.63
2022-02-01,2022,2,Usluge trećih strana,148814.71
2022-03-01,2022,3,Usluge trećih strana,142682.04
2022-04-01,2022,4,Usluge trećih strana,134644.31
2022-05-01,2022,5,Usluge trećih strana,133187.75
2022-06-01,2022,6,Usluge trećih strana,132818.58
2022-07-01,2022,7,Usluge trećih strana,145646.36
2022-08-01,2022,8,Usluge trećih strana,126058.47
2022-09-01,2022,9,Usluge trećih strana,145761.35
2022-10-01,2022,10,Usluge trećih strana,153392.7
2022-11-01,2022,11,Usluge trećih strana,146504.08
2022-12-01,2022,12,Usluge trećih strana,155504.45
2023-01-01,2023,1,Usluge trećih strana,153202.89
2023-02-01,2023,2,Usluge trećih strana,159295.49
2023-03-01,2023,3,Usluge trećih strana,151928.92
2023-04-01,2023,4,Usluge trećih strana,158366.71
2023-05-01,2023,5,Usluge trećih strana,148308.3
2023-06-01,2023,6,Usluge trećih strana,144065.73
2023-07-01,2023,7,Usluge trećih strana,140343.65
2023-08-01,2023,8,Usluge trećih strana,162978.23
2023-09-01,2023,9,Usluge trećih strana,149297.16
2023-10-01,2023,10,Usluge trećih strana,176846.22
2023-11-01,2023,11,Usluge trećih strana,183661.13
2023-12-01,2023,12,Usluge trećih strana,165549.76
2024-01-01,2024,1,Usluge trećih strana,168330.58
2024-02-01,2024,2,Usluge trećih strana,176758.15
2024-03-01,2024,3,Usluge trećih strana,158852.86
2024-04-01,2024,4,Usluge trećih strana,169674.57
2024-05-01,2024,5,Usluge trećih strana,145794.24
2024-06-01,2024,6,Usluge trećih strana,150767.59
2024-07-01,2024,7,Usluge trećih strana,160204.16
2024-08-01,2024,8,Usluge trećih strana,159333.64
2024-09-01,2024,9,Usluge trećih strana,167249.59
2024-10-01,2024,10,Usluge trećih strana,187330.23
2024-11-01,2024,11,Usluge trećih strana,185569.74
2024-12-01,2024,12,Usluge trećih strana,198556.86
2025-01-01,2025,1,Usluge trećih strana,192579.12
2025-02-01,2025,2,Usluge trećih strana,183972.58
2025-03-01,2025,3,Usluge trećih strana,179267.98
2025-04-01,2025,4,Usluge trećih strana,163960.17
2025-05-01,2025,5,Usluge trećih strana,157739.09
2025-06-01,2025,6,Usluge trećih strana,185390.99
2025-07-01,2025,7,Usluge trećih strana,179760.2
2025-08-01,2025,8,Usluge trećih strana,179659.81
2025-09-01,2025,9,Usluge trećih strana,195156.74
2025-10-01,2025,10,Usluge trećih strana,198850.62
2025-11-01,2025,11,Usluge trećih strana,218072.48
2025-12-01,2025,12,Usluge trećih strana,224123.23
2021-01-01,2021,1,Amortizacija,59533.65
2021-02-01,2021,2,Amortizacija,58958.96
2021-03-01,2021,3,Amortizacija,54632.29
2021-04-01,2021,4,Amortizacija,57421.03
2021-05-01,2021,5,Amortizacija,56793.48
2021-06-01,2021,6,Amortizacija,58491.62
2021-07-01,2021,7,Amortizacija,53403.32
2021-08-01,2021,8,Amortizacija,57165.87
2021-09-01,2021,9,Amortizacija,58090.39
2021-10-01,2021,10,Amortizacija,51895.83
2021-11-01,2021,11,Amortizacija,53268.67
2021-12-01,2021,12,Amortizacija,51439.01
2022-01-01,2022,1,Amortizacija,55495.45
2022-02-01,2022,2,Amortizacija,57805.48
2022-03-01,2022,3,Amortizacija,59667.89
2022-04-01,2022,4,Amortizacija,56545.51
2022-05-01,2022,5,Amortizacija,60150.35
2022-06-01,2022,6,Amortizacija,53442.19
2022-07-01,2022,7,Amortizacija,52797.8
2022-08-01,2022,8,Amortizacija,56625.7
2022-09-01,2022,9,Amortizacija,57718.82
2022-10-01,2022,10,Amortizacija,56864.95
2022-11-01,2022,11,Amortizacija,52316.92
2022-12-01,2022,12,Amortizacija,56924.0
2023-01-01,2023,1,Amortizacija,54236.23
2023-02-01,2023,2,Amortizacija,58851.84
2023-03-01,2023,3,Amortizacija,58253.04
2023-04-01,2023,4,Amortizacija,55344.04
2023-05-01,2023,5,Amortizacija,56417.0
2023-06-01,2023,6,Amortizacija,55251.6
2023-07-01,2023,7,Amortizacija,57646.49
2023-08-01,2023,8,Amortizacija,60098.44
2023-09-01,2023,9,Amortizacija,55696.25
2023-10-01,2023,10,Amortizacija,59249.17
2023-11-01,2023,11,Amortizacija,56940.23
2023-12-01,2023,12,Amortizacija,56422.17
2024-01-01,2024,1,Amortizacija,58116.56
2024-02-01,2024,2,Amortizacija,56041.91
2024-03-01,2024,3,Amortizacija,57262.54
2024-04-01,2024,4,Amortizacija,55845.59
2024-05-01,2024,5,Amortizacija,63370.32
2024-06-01,2024,6,Amortizacija,58933.03
2024-07-01,2024,7,Amortizacija,57297.34
2024-08-01,2024,8,Amortizacija,59549.95
2024-09-01,2024,9,Amortizacija,58876.36
2024-10-01,2024,10,Amortizacija,58716.16
2024-11-01,2024,11,Amortizacija,60795.33
2024-12-01,2024,12,Amortizacija,61236.52
2025-01-01,2025,1,Amortizacija,58270.46
2025-02-01,2025,2,Amortizacija,58258.6
2025-03-01,2025,3,Amortizacija,59073.42
2025-04-01,2025,4,Amortizacija,54320.34
2025-05-01,2025,5,Amortizacija,56295.95
2025-06-01,2025,6,Amortizacija,63309.0
2025-07-01,2025,7,Amortizacija,64082.38
2025-08-01,2025,8,Amortizacija,59625.53
2025-09-01,2025,9,Amortizacija,61716.16
2025-10-01,2025,10,Amortizacija,61176.85
2025-11-01,2025,11,Amortizacija,67978.25
2025-12-01,2025,12,Amortizacija,63339.26
2021-01-01,2021,1,Ostali troškovi,65891.43
2021-02-01,2021,2,Ostali troškovi,60736.61
2021-03-01,2021,3,Ostali troškovi,58975.45
2021-04-01,2021,4,Ostali troškovi,61406.63
2021-05-01,2021,5,Ostali troškovi,58425.68
2021-06-01,2021,6,Ostali troškovi,57900.73
2021-07-01,2021,7,Ostali troškovi,59668.12
2021-08-01,2021,8,Ostali troškovi,60379.41
2021-09-01,2021,9,Ostali troškovi,68654.66
2021-10-01,2021,10,Ostali troškovi,68818.28
2021-11-01,2021,11,Ostali troškovi,67621.5
2021-12-01,2021,12,Ostali troškovi,75136.89
2022-01-01,2022,1,Ostali troškovi,69670.62
2022-02-01,2022,2,Ostali troškovi,65482.1
2022-03-01,2022,3,Ostali troškovi,67223.73
2022-04-01,2022,4,Ostali troškovi,67643.56
2022-05-01,2022,5,Ostali troškovi,59822.95
2022-06-01,2022,6,Ostali troškovi,63136.31
2022-07-01,2022,7,Ostali troškovi,62164.01
2022-08-01,2022,8,Ostali troškovi,59589.47
2022-09-01,2022,9,Ostali troškovi,73436.21
2022-10-01,2022,10,Ostali troškovi,78805.02
2022-11-01,2022,11,Ostali troškovi,70184.24
2022-12-01,2022,12,Ostali troškovi,75559.87
2023-01-01,2023,1,Ostali troškovi,71689.12
2023-02-01,2023,2,Ostali troškovi,72321.49
2023-03-01,2023,3,Ostali troškovi,68937.52
2023-04-01,2023,4,Ostali troškovi,67265.24
2023-05-01,2023,5,Ostali troškovi,68167.75
2023-06-01,2023,6,Ostali troškovi,67464.01
2023-07-01,2023,7,Ostali troškovi,69846.63
2023-08-01,2023,8,Ostali troškovi,74321.99
2023-09-01,2023,9,Ostali troškovi,72963.75
2023-10-01,2023,10,Ostali troškovi,73603.79
2023-11-01,2023,11,Ostali troškovi,78527.23
2023-12-01,2023,12,Ostali troškovi,80260.04
2024-01-01,2024,1,Ostali troškovi,84082.89
2024-02-01,2024,2,Ostali troškovi,74535.4
2024-03-01,2024,3,Ostali troškovi,74855.63
2024-04-01,2024,4,Ostali troškovi,77632.79
2024-05-01,2024,5,Ostali troškovi,68279.01
2024-06-01,2024,6,Ostali troškovi,74300.66
2024-07-01,2024,7,Ostali troškovi,72898.76
2024-08-01,2024,8,Ostali troškovi,76183.77
2024-09-01,2024,9,Ostali troškovi,76336.3
2024-10-01,2024,10,Ostali troškovi,77415.34
2024-11-01,2024,11,Ostali troškovi,81913.24
2024-12-01,2024,12,Ostali troškovi,90008.63
2025-01-01,2025,1,Ostali troškovi,87750.41
2025-02-01,2025,2,Ostali troškovi,79613.9
2025-03-01,2025,3,Ostali troškovi,82447.94
2025-04-01,2025,4,Ostali troškovi,74157.68
2025-05-01,2025,5,Ostali troškovi,77895.1
2025-06-01,2025,6,Ostali troškovi,77314.19
2025-07-01,2025,7,Ostali troškovi,79531.72
2025-08-01,2025,8,Ostali troškovi,84773.81
2025-09-01,2025,9,Ostali troškovi,81202.11
2025-10-01,2025,10,Ostali troškovi,88064.43
2025-11-01,2025,11,Ostali troškovi,97091.51
2025-12-01,2025,12,Ostali troškovi,96801.19
